Subject,Cond,order_PPRS1_RSPP2,Sex,Age,SexOrient,Outro1,tOutro1,PP01,PP02,PP03,PP04,PP05,PP06,PP07,PP08,PP09,PP10,PP11,PP12,PP13,PP14,PP15,PP16,PP17,PP18,tPP01,tPP02,tPP03,tPP04,tPP05,tPP06,tPP07,tPP08,tPP09,tPP10,tPP11,tPP12,tPP13,tPP14,tPP15,tPP16,tPP17,tPP18,PPVAS1,PPVAS2,RS01,RS02,RS03,RS04,RS05,RS06,RS07,RS08,RS09,RS10,RS11,RS12,RS13,RS14,RS15,RS16,tRS01,tRS02,tRS03,tRS04,tRS05,tRS06,tRS07,tRS08,tRS09,tRS10,tRS11,tRS12,tRS13,tRS14,tRS15,tRS16,RSVAS1,RSVAS2,SPVAS1,SPVAS2,VIS01,VIS02,VIS03,tVIS01,tVIS02,PP03_revcod,PP05_revcod,PP12_revcod,PP13_revcod,PP15_revcod,PP16_revcod,PP18_revcod,PP_AVE,RS01_revcod,RS02_revcod,RS03_revcod,RS05_revcod,RS011_revcod,RS012_revcod,RS016_revcod,RS_AVE,tAVE_PP,tAVE_RS,VIS_AVE,VAS1_cor,VAS2_cor,VAS_bothwrong
37,3,2,2,23,1,99,99,3,4,6,5,3,2,1,5,2,2,2,2,2,5,3,4,2,2,10517,5193,4373,4582,7638,6287,4842,3960,5783,5228,3813,7713,9192,6842,7260,5600,6853,7893,99,99,6,5,2,7,3,7,4,6,5,4,2,2,7,6,6,3,10520,15098,8785,8835,10100,3337,10533,2813,4708,13545,5463,8842,5868,4207,2755,4440,99,99,2,2,5,4,5,9240,6722,2,5,6,6,5,4,6,3.722222222,2,3,6,5,6,6,5,5.3125,6309.388889,7490.5625,4.666666667,1,0,0
41,3,2,1,19,1,99,99,3,3,6,4,5,2,2,2,3,2,2,5,3,2,5,5,2,4,8845,5797,2535,4151,4282,3317,4307,3410,4263,3360,3930,5418,8142,4050,5563,3002,4288,7561,99,99,6,5,2,6,3,7,5,7,6,4,1,3,7,6,5,3,5802,7588,8375,7780,6705,3923,7113,2555,2695,7700,3873,3343,4030,4138,7331,3450,99,99,2,1,4,4,1,5420,9203,2,3,3,5,3,3,4,2.777777778,2,3,6,5,7,5,5,5.375,4790.055556,5400.0625,3,1,1,0
44,3,1,1,21,1,99,99,7,7,1,7,2,7,6,7,7,6,6,2,1,6,1,4,7,1,3342,1858,2688,4548,6310,2535,2845,3240,3715,4970,3771,3027,4067,3275,5655,5597,4730,7196,99,99,7,6,3,5,3,6,6,7,7,7,2,3,7,7,7,5,5240,3985,7287,4232,3740,2453,5740,2890,2100,3820,3495,4317,4443,3410,3058,4145,99,99,2,1,4,6,1,4582,2770,7,6,6,7,7,4,7,6.5,1,2,5,5,6,5,3,5.375,4076.055556,4022.1875,3.666666667,1,1,0
45,3,2,1,19,1,99,99,7,7,7,7,5,4,1,1,7,4,3,1,6,1,3,5,4,1,4270,2140,2896,4135,11942,5887,3535,3062,4360,8405,2853,4010,4838,5002,6660,4338,8800,19068,99,99,4,5,1,7,1,7,6,7,7,7,1,1,7,7,7,1,10835,10092,6440,4015,3265,5178,4685,3245,2555,4490,4553,5983,10036,11485,2427,5097,99,99,2,1,5,6,3,9210,4152,1,3,7,2,5,3,7,4.111111111,4,3,7,7,7,7,7,6.5,5900.055556,5898.8125,4.666666667,1,1,0
47,3,1,2,24,1,99,99,4,2,6,5,5,2,1,2,2,3,2,6,4,2,6,4,2,5,9075,4733,5240,5095,7535,4900,4207,3820,6327,11663,4558,3258,6125,4558,4737,5052,7028,7860,99,99,5,6,4,3,4,6,5,4,3,2,5,5,4,7,7,2,11688,6610,11385,8403,5415,4933,11165,5720,5045,6055,3793,8380,7398,10037,3970,6946,99,99,2,1,4,4,1,6787,4502,2,3,2,4,2,4,3,2.611111111,3,2,4,4,3,3,6,4.125,5876.166667,7308.9375,3,1,1,0
51,3,1,2,23,3,99,99,7,5,5,4,3,6,1,5,4,5,4,6,2,4,2,3,3,1,6950,4445,4925,6640,6033,6155,3570,4301,5368,10507,3635,4307,10290,4897,10967,3912,7077,7120,99,99,3,6,1,6,3,6,3,4,2,6,5,3,7,5,7,4,9075,10808,8230,4265,2997,4950,5661,3912,7180,4735,6905,4435,9073,3518,3315,9468,99,99,2,1,3,5,1,7243,4370,3,5,2,6,6,5,7,4.555555556,5,2,7,5,3,5,4,4.8125,6172.166667,6157.9375,3,1,1,0
53,3,2,2,20,1,99,99,5,5,3,4,1,2,1,5,1,1,1,5,3,3,2,4,2,5,12200,7307,9800,7015,5171,4520,4795,7893,4540,5873,8180,3335,7068,4933,4913,5580,4963,5478,99,99,3,5,1,5,1,6,5,3,3,3,2,2,4,5,6,1,13598,6378,17065,6931,4765,6120,5445,9958,6325,7050,5673,9385,8113,4815,3383,6185,99,99,2,1,5,5,3,11856,16285,5,7,3,5,6,4,3,3.5,5,3,7,7,6,6,7,5.0625,6309.111111,7574.3125,4.333333333,1,1,0
56,3,2,2,19,1,99,99,7,3,5,2,5,1,3,4,2,1,2,2,4,5,6,6,2,7,5138,3830,2260,4603,12205,2570,3982,4657,3846,3653,3002,4628,7962,8737,4263,5650,5153,9322,99,99,7,4,2,3,7,7,7,5,7,1,1,4,7,7,7,7,10271,6393,11237,7727,3060,2918,6670,2820,4807,6880,3365,3825,4833,7640,4993,3988,99,99,2,1,7,7,1,2948,2377,3,3,6,4,2,2,1,2.944444444,1,4,6,1,7,4,1,4.6875,5303.388889,5714.1875,5,1,1,0
60,3,1,2,21,4,99,99,5,4,4,6,4,3,4,4,3,3,4,2,2,4,2,4,7,2,12883,4460,3282,4942,4930,9783,6692,4165,9052,20001,5625,7100,15468,6875,10035,3328,4546,8480,99,99,6,6,1,7,1,7,6,7,7,7,4,1,7,7,7,3,11535,26948,14923,3545,4030,2575,10603,3495,4402,7653,26523,8431,6640,3315,2480,5195,99,99,2,1,6,6,1,5110,7620,4,4,6,6,6,4,6,4.611111111,2,2,7,7,4,7,5,6,7869.277778,8893.3125,4.333333333,1,1,0
62,3,2,1,19,1,99,99,7,5,2,7,2,2,1,5,6,7,5,4,2,5,2,3,5,2,3980,3462,7295,3382,9245,3738,2910,5480,5647,4090,5717,3905,7273,6495,4093,3977,11610,9531,99,99,5,3,1,6,3,6,5,6,4,5,1,3,3,6,6,2,10388,7038,29081,4260,8828,3483,5455,5343,5285,5647,4630,8287,7803,15380,2403,9870,99,99,2,1,5,3,1,10571,7340,6,6,4,6,6,5,6,5.222222222,3,5,7,5,7,5,6,5.3125,5657.222222,8323.8125,3,1,1,0
